id,categoria,referencia,finalidade_no_C1NC0,url,arquivo_no_resources,onde_citado_no_documento
R1,01_credibilidade_e_procedencia,"Metzger, M. J. (2007). Making sense of credibility on the Web","Fundamenta modelos de avaliação de credibilidade online e apoia a discussão de origem, coerência e sinais observáveis.",https://doi.org/10.1002/asi.20672,01_credibilidade_e_procedencia/R1_Metzger_2007_Credibility_Web.url,Seção 2.1 (Coerência e Origem); Seção 14.
R2,01_credibilidade_e_procedencia,"Wineburg, S.; McGrew, S. (2019). Lateral Reading and the Nature of Expertise","Fundamenta leitura lateral, cruzamento de fontes e apoio ao pensamento crítico sem substituir o julgamento humano.",https://doi.org/10.1177/016146811912101102,01_credibilidade_e_procedencia/R2_Wineburg_McGrew_2019_Lateral_Reading.url,"Seções 2.1, 2.3, 11 e 12; Seção 14."
R3,01_credibilidade_e_procedencia,"McGrew, S. (2024). Teaching lateral reading",Apoia intervenções educacionais para ensinar avaliação crítica de informação e leitura como fact-checkers.,https://doi.org/10.1016/j.copsyc.2023.101737,01_credibilidade_e_procedencia/R3_McGrew_2024_Teaching_Lateral_Reading.url,"Seções 2.3, 11 e 12; Seção 14."
R4,01_credibilidade_e_procedencia,C2PA — Coalition for Content Provenance and Authenticity — Specifications / Content Credentials,"Referência para procedência, histórico e proveniência de mídia digital; útil para o indício de imagem/origem.",https://spec.c2pa.org/specifications/,01_credibilidade_e_procedencia/R4_C2PA_Content_Provenance_Authenticity.url,Seção 2.1 (Imagem); Seção 14.
R5,01_credibilidade_e_procedencia,IFLA — How To Spot Fake News,"Referência de literacia informacional: fonte, autor, data, evidências de apoio, vieses e consulta a especialistas.",https://www.ifla.org/wp-content/uploads/2019/05/assets/hq/topics/info-society/images/how_to_spot_fake_news.pdf,01_credibilidade_e_procedencia/R5_IFLA_How_To_Spot_Fake_News.url,"Seções 2.1, 2.3, 11 e 12; Seção 14."
R6,02_EDA,pandas User Guide,"Referência oficial para inspeção de DataFrames, nulos, duplicatas, estatísticas descritivas, agrupamentos e I/O.",https://pandas.pydata.org/docs/user_guide/,02_EDA/R6_pandas_User_Guide.url,Seção 4.1; Ciclo 2; Seção 14.
R7,02_EDA,Matplotlib — Getting Started / Quick Start,Referência oficial para visualizações do EDA e para atender à constraint de técnicas de visualização.,https://matplotlib.org/stable/users/getting_started/index.html,02_EDA/R7_Matplotlib_Getting_Started.url,Seção 4.1; Ciclo 2; Guiding Constraints; Seção 14.
R8,03_Machine_Learning,scikit-learn — Unsupervised learning,"Referência oficial para aprendizado não supervisionado, clustering e K-Means.",https://scikit-learn.org/stable/unsupervised_learning.html,03_Machine_Learning/R8_scikit_learn_Unsupervised_Learning.url,Tabela de requisitos; Seção 4.2; Ciclo 5; Guiding Constraints; Seção 14.
R9,03_Machine_Learning,scikit-learn — Metrics and scoring,"Referência oficial para precision, recall, F1, matriz de confusão e avaliação de modelos.",https://scikit-learn.org/stable/modules/model_evaluation.html,03_Machine_Learning/R9_scikit_learn_Metrics_and_Scoring.url,Seção 11 (Avaliação); Guiding Constraints; Seção 14.
R10,04_imagem_e_media_forensics,NISTIR 8377 — User Guide for NIST Media Forensic Challenge Datasets,Referência para media forensics e detecção/localização de manipulações de imagem.,https://doi.org/10.6028/NIST.IR.8377,04_imagem_e_media_forensics/R10_NISTIR_8377_Media_Forensics.url,Seção 2.1 (Imagem); Seção 14.
R11,01_credibilidade_e_procedencia,Stanford Web Credibility Project — Publications,Conjunto de estudos sobre como usuários avaliam credibilidade de websites; apoio ao estado da arte.,https://credibility.stanford.edu/publications.html,01_credibilidade_e_procedencia/R11_Stanford_Web_Credibility_Project.url,Seção 14 e fundamentação de credibilidade.
R12,05_Guiding_Constraints,Material interno da Residência em IA — slide Guiding Constraints (24/08/2026),Fonte das 13 Guiding Constraints consolidadas no documento v0.9.,MATERIAL_INTERNO,05_Guiding_Constraints/R12_Material_Interno_Guiding_Constraints.md,Seção 13; Seção 14.
